Symbol,Ensembl Gene ID,Entrez,Type,Species,Chr,Position (Mbp),Description,percentage_gc_content,transcript_count,genomeSpan,cds_length,transcript_length,FiveUTR,ThreeUTR,nExons
 IGLC7,ENSG00000211685,NA,IG_C_gene,Human,22,22.922594,immunoglobulin lambda constant 7 [Source:HGNC Symbol;Acc:HGNC:5861],60.32,1,441,320,441,NA,121,1
 IGHGP,ENSG00000253755,NA,IG_C_pseudogene,Human,14,105.664633,immunoglobulin heavy constant gamma P (non-functional) [Source:HGNC Symbol;Acc:HGNC:5529],62.85,1,5211,NA,1178,NA,NA,6
 IGHD3-3,ENSG00000211930,NA,IG_D_gene,Human,14,105.914359,immunoglobulin heavy diversity 3-3 [Source:HGNC Symbol;Acc:HGNC:5498],32.26,1,31,31,31,NA,NA,1
 IGHJ4,ENSG00000240041,NA,IG_J_gene,Human,14,105.864215,immunoglobulin heavy joining 4 [Source:HGNC Symbol;Acc:HGNC:5538],58.7,1,46,46,46,NA,NA,1
 IGHJ2P,ENSG00000237547,NA,IG_J_pseudogene,Human,14,105.864793,immunoglobulin heavy joining 2P (pseudogene) [Source:HGNC Symbol;Acc:HGNC:5535],68.33,1,60,NA,60,NA,NA,1
 IGKV3-15,ENSG00000244437,NA,IG_V_gene,Human,2,89.085177,immunoglobulin kappa variable 3-15 [Source:HGNC Symbol;Acc:HGNC:5816],50.74,1,611,345,442,97,NA,2
 IGKV1-17,ENSG00000240382,NA,IG_V_gene,Human,2,89.117342,immunoglobulin kappa variable 1-17 [Source:HGNC Symbol;Acc:HGNC:5733],49.5,1,503,351,378,27,NA,2
 IGKV1D-8,ENSG00000239819,NA,IG_V_gene,Human,2,90.220727,immunoglobulin kappa variable 1D-8 [Source:HGNC Symbol;Acc:HGNC:5759],50.61,1,658,353,534,181,NA,2
 IGHV3-7,ENSG00000211938,NA,IG_V_gene,Human,14,106.062151,immunoglobulin heavy variable 3-7 [Source:HGNC Symbol;Acc:HGNC:5620],52.72,1,533,351,430,79,NA,2
 IGHV3-48,ENSG00000211964,NA,IG_V_gene,Human,14,106.53781,immunoglobulin heavy variable 3-48 [Source:HGNC Symbol;Acc:HGNC:5606],50.47,1,535,353,432,79,NA,2
 IGHV1-58,ENSG00000211968,NA,IG_V_gene,Human,14,106.622357,immunoglobulin heavy variable 1-58 [Source:HGNC Symbol;Acc:HGNC:5555],55.31,1,499,353,414,61,NA,2
 IGHV4-59,ENSG00000224373,NA,IG_V_gene,Human,14,106.627249,immunoglobulin heavy variable 4-59 [Source:HGNC Symbol;Acc:HGNC:5654],54.25,1,577,350,495,145,NA,2
 IGHV2-70,ENSG00000274576,NA,IG_V_gene,Human,14,106.770577,immunoglobulin heavy variable 2-70 [Source:HGNC Symbol;Acc:HGNC:5577],51.58,1,444,358,358,NA,NA,2
 IGHV1OR15-1,ENSG00000270505,NA,IG_V_gene,Human,15,22.160431,immunoglobulin heavy variable 1/OR15-1 (non-functional) [Source:HGNC Symbol;Acc:HGNC:5563],56.62,1,438,353,353,NA,NA,2
 IGHV3OR16-9,ENSG00000270472,NA,IG_V_gene,Human,16,32.066065,immunoglobulin heavy variable 3/OR16-9 (non-functional) [Source:HGNC Symbol;Acc:HGNC:5644],54.42,1,294,294,294,NA,NA,1
 IGLV6-57,ENSG00000211640,NA,IG_V_gene,Human,22,22.195799,immunoglobulin lambda variable 6-57 [Source:HGNC Symbol;Acc:HGNC:5927],56.49,1,478,353,353,NA,NA,2
 IGLV3-16,ENSG00000211665,NA,IG_V_gene,Human,22,22.747383,immunoglobulin lambda variable 3-16 [Source:HGNC Symbol;Acc:HGNC:5901],55.66,1,539,347,385,38,NA,2
 IGKV1-13,ENSG00000253497,NA,IG_V_pseudogene,Human,2,89.045995,immunoglobulin kappa variable 1-13 [Source:HGNC Symbol;Acc:HGNC:5731],50.21,1,472,NA,347,NA,NA,2
 IGHV1-14,ENSG00000253709,NA,IG_V_pseudogene,Human,14,106.145891,immunoglobulin heavy variable 1-14 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:5547],52.7,1,241,NA,241,NA,NA,1
 IGHV3-25,ENSG00000253441,NA,IG_V_pseudogene,Human,14,106.289029,immunoglobulin heavy variable 3-25 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:5589],49.22,1,451,NA,351,NA,NA,2
 IGHVII-43-1,ENSG00000283195,NA,IG_V_pseudogene,Human,14,106.472791,immunoglobulin heavy variable (II)-43-1 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:5680],52.86,1,210,NA,210,NA,NA,1
 IGKV1OR22-1,ENSG00000253481,NA,IG_V_pseudogene,Human,22,16.933521,immunoglobulin kappa variable 1/OR22-1 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:5772],49.9,1,483,NA,360,NA,NA,2
 ,ENSG00000227193,NA,lncRNA,Human,1,121.118126,novel transcript,42.93,1,28701,NA,494,NA,NA,4
 LINC00624,ENSG00000278811,100289211,lncRNA,Human,1,147.258885,long intergenic non-protein coding RNA 624 [Source:HGNC Symbol;Acc:HGNC:44254],39.44,2,258991,NA,3230,NA,NA,5
 ,ENSG00000285184,NA,lncRNA,Human,1,150.04566,novel transcript,39.16,4,22063,NA,2127,NA,NA,4
 GORAB-AS1,ENSG00000231407,NA,lncRNA,Human,1,170.460453,GORAB antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:54051],36.93,5,72195,NA,1528,NA,NA,3
 LINC01633,ENSG00000260976,NA,lncRNA,Human,1,184.99971,long intergenic non-protein coding RNA 1633 [Source:HGNC Symbol;Acc:HGNC:52420],40.45,1,9080,NA,1423,NA,NA,3
 ,ENSG00000260021,NA,lncRNA,Human,1,202.810238,"novel transcript, antisense to a novel transcript",50.84,1,592,NA,592,NA,NA,1
 LINC01705,ENSG00000232679,NA,lncRNA,Human,1,222.010825,long intergenic non-protein coding RNA 1705 [Source:HGNC Symbol;Acc:HGNC:52493],42.01,3,53949,NA,835,NA,NA,3
 ,ENSG00000286496,NA,lncRNA,Human,1,241.357343,novel transcript,41.19,3,6712,NA,2520,NA,NA,2
 ,ENSG00000287516,NA,lncRNA,Human,1,241.413716,novel transcript,42,19,54946,NA,1477,NA,NA,4
 ,ENSG00000286519,NA,lncRNA,Human,2,45.173722,novel transcript,41.42,1,2214,NA,1268,NA,NA,2
 AFTPH-DT,ENSG00000260101,101927402,lncRNA,Human,2,64.522187,AFTPH divergent transcript [Source:HGNC Symbol;Acc:HGNC:52788],37.68,1,1924,NA,1924,NA,NA,1
 ,ENSG00000286208,NA,lncRNA,Human,2,131.555007,novel transcript,38.56,1,13593,NA,4030,NA,NA,3
 ,ENSG00000236449,NA,lncRNA,Human,2,174.547141,"novel transcript, antisense to WIPF1 and CHRNA1",42.96,4,229580,NA,2297,NA,NA,3
 LINC01614,ENSG00000230838,105373869,lncRNA,Human,2,215.718043,long intergenic non-protein coding RNA 1614 [Source:HGNC Symbol;Acc:HGNC:51847],41.52,1,2902,NA,2168,NA,NA,2
 ,ENSG00000261572,NA,lncRNA,Human,3,32.236688,"novel transcript, intronic to CMTM8",50.26,1,1912,NA,1912,NA,NA,1
 ,ENSG00000239482,105374042,lncRNA,Human,3,112.302478,novel transcript,36.95,2,30314,NA,758,NA,NA,5
 ,ENSG00000243176,NA,lncRNA,Human,3,157.174201,novel transcript,39.24,10,207065,NA,1449,NA,NA,3
 ,ENSG00000244706,NA,lncRNA,Human,3,167.8665,novel transcript,36.03,4,83793,NA,848,NA,NA,6
 LINC01014,ENSG00000223941,100874330,lncRNA,Human,3,178.419201,long intergenic non-protein coding RNA 1014 [Source:HGNC Symbol;Acc:HGNC:41353],37.99,3,38109,NA,474,NA,NA,3
 ,ENSG00000249392,NA,lncRNA,Human,4,59.551142,novel transcript,35.74,1,79183,NA,558,NA,NA,6
 LINC01094,ENSG00000251442,NA,lncRNA,Human,4,78.63878,long intergenic non-protein coding RNA 1094 [Source:HGNC Symbol;Acc:HGNC:49219],39.7,21,44406,NA,2005,NA,NA,4
 THAP9-AS1,ENSG00000251022,NA,lncRNA,Human,4,82.893009,THAP9 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44172],39.31,12,7952,NA,958,NA,NA,4
 ,ENSG00000260091,NA,lncRNA,Human,4,119.409333,novel transcript,55.72,1,901,NA,901,NA,NA,1
 RAB33B-AS1,ENSG00000273247,NA,lncRNA,Human,4,139.411927,RAB33B antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55153],41.5,6,42108,NA,1770,NA,NA,2
 ,ENSG00000287216,NA,lncRNA,Human,4,153.633692,"novel transcript, antisense to KIAA0922",41.89,1,21998,NA,1108,NA,NA,2
 LINC02217,ENSG00000248455,101929544,lncRNA,Human,5,17.403889,long intergenic non-protein coding RNA 2217 [Source:HGNC Symbol;Acc:HGNC:53084],40.61,20,39731,NA,977,NA,NA,3
 LINC02163,ENSG00000251026,NA,lncRNA,Human,5,104.079847,long intergenic non-protein coding RNA 2163 [Source:HGNC Symbol;Acc:HGNC:53024],34.07,5,326275,NA,985,NA,NA,5
 ,ENSG00000253163,NA,lncRNA,Human,5,179.377531,novel transcript,59.87,1,1231,NA,624,NA,NA,2
 LINC00581,ENSG00000280989,100874531,lncRNA,Human,6,21.485896,long intergenic non-protein coding RNA 581 [Source:HGNC Symbol;Acc:HGNC:43840],42.37,2,35519,NA,931,NA,NA,4
 BRPF3-AS1,ENSG00000246982,NA,lncRNA,Human,6,36.146698,BRPF3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55591],40.1,3,50508,NA,808,NA,NA,3
 PANDAR,ENSG00000281450,101154753,lncRNA,Human,6,36.673621,promoter of CDKN1A antisense DNA damage activated RNA [Source:HGNC Symbol;Acc:HGNC:44048],49.87,1,1506,NA,1506,NA,NA,1
 ,ENSG00000235122,NA,lncRNA,Human,6,49.714325,novel transcript,36.87,23,106179,NA,655,NA,NA,5
 LINC02528,ENSG00000226004,105378020,lncRNA,Human,6,137.943079,long intergenic non-protein coding RNA 2528 [Source:HGNC Symbol;Acc:HGNC:53554],40.11,2,14579,NA,466,NA,NA,2
